Scenario,SSP3-Baseline,SSP4-Baseline,SSP1-Baseline,SSP2-Baseline,SSP5-Baseline,SSP3-Baseline,SSP4-Baseline,SSP1-Baseline,SSP2-Baseline,SSP5-Baseline,
Unit,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,GtC/yr,GtC/yr,GtC/yr,GtC/yr,GtC/yr,
2005,4777.851,2501.448,3771.830,6894.948,5732.641,1.303998553,0.682709573,1.029429524,1.881809084,1.564585289,
2010,6923.006,3128.786,3507.339,7161.444,4171.125,1.889466758,0.853926315,0.957243132,1.954542518,1.138407369,
2020,7414.450,1218.539,3176.770,5114.400,5062.389,2.023594323,0.332570689,0.867022265,1.395851635,1.381656468,
2030,5841.971,1375.235,2972.976,4220.249,5566.452,1.594424454,0.375337068,0.811401652,1.151814581,1.519228166,
2040,4637.857,2255.700,1917.707,3865.736,4025.617,1.265790775,0.615638596,0.523391655,1.055059027,1.098694596,
2050,3794.890,2586.179,-213.854,3037.158,2306.466,1.035723117,0.705834827,-0.058366398,0.828918779,0.629494023,
2060,3739.590,3262.017,-1436.361,1935.181,150.416,1.020630349,0.890288511,-0.39202003,0.528160811,0.041052511,
2070,3312.018,2968.286,-1718.860,907.574,-238.674,0.903934989,0.810121769,-0.469121078,0.247700461,-0.065140311,
2080,2843.305,1752.113,-1940.187,65.652,-147.852,0.776011272,0.478196876,-0.52952698,0.017918008,-0.040352675,
2090,2564.936,957.502,-2014.942,-248.572,-495.368,0.700037227,0.26132684,-0.549929585,-0.067841588,-0.135198745,
2100,2656.121,455.400,-2436.092,-481.563,-1530.317,0.724923881,0.124290295,-0.664872224,-0.131431031,-0.417663019,
